Pytanie;A;B;C;D;E;F;G;Poprawne
"Pod pojęciem rozwiązań NoSQL rozumiane są m. in. systemy utrzymujące zasoby danych w postaci";"dokumentów np. JSON";"grafów";"rekordami opisanych kolumnami, w tym kluczami obcymi, których poprawność jest weryfikowana przy każdym zapisie przez system";"wierszy opisanych kolumnami, potencjalnie różnymi w każdym wierszu";;;;1,2,4
"Twierdzenie CAP:";"Dotyczy możliwości jednoczesnego zapewnienia m.in. spójności i przenośności";"Dotyczy możliwości jednoczesnego zapewnienia m.in. spójności i odporności na partycjonowanie";"Dotyczy możliwości jednoczesnego zapewnienia m.in. spójności i dostępności";"Dotyczy systemów rozproszonych i może być odniesione np. do Apache Cassandra";"Dotyczy pojedynczej instancji DBMS np. Oracle Database";;;2,3,4
"W bazie danych utworzono tabelę z kluczem głównym typu int, którego wartość ma być nadawana automatycznie jako unikalna liczba całkowita. W tej sytuacji rozwiązanie wydajne i skuteczne to:";"Wyznaczanie wartości klucza głównego poprzez wyznaczenie największej wartości z juz obecnych w kolumnie klucza głównego i zwiększanie tej wartości o 1.";"Zastosowanie dodatkowej tabeli z rekordami numeratorów.";"Zastosowanie mechanizmu IDENTITY.";;;;;3
"Na podstawie wyniku zapytania SQL SELECT do tabel obejmujących 7 milionów rekordów uzyskiwane jest 50 wierszy. Najsprawniejszego dalszego przetwarzania danych tych wierszy należy oczekiwać, gdy";"Wynik w/w zapytania SQL SELECT jest udostępniany za pomocą widoku reprezentującego w/w zapytanie SQL SELECT i przetwarzanie wykorzysta ten widok";"wynik w/w zapytania SQL SELECT będzie umieszczony w tabeli tymczasowej i przetwarzanie wykorzysta tą tabelę";;;;;;2
"Utworzenie widoku CREATE VIEW testView as SELECT * FROM Orders powoduje";"Zaalokowanie dodatkowego obszaru w plikach bazy danych na kopię danych tabeli Orders, kopia ta będzie automatycznie aktualizowana przy zmianach w tabeli Orders";"Zapisanie definicji widoku. W chwili wykonania zapytania SELECT * FROM testView, nastąpi zaalokowanie dodatkowego obszaru w plikach bazy danych na kopię danych tabeli Orders";"Zaalokowanie dodatkowego obszaru w plikach bazy danych na kopię danych tabeli Orders, kopia ta nie będzie automatycznie aktualizowana przy zmianach w tabeli Orders";"Zapisanie definicji widoku. W chwili wykonania zapytania SELECT FROM testView nastąpi wykonanie odpowiedzi z wykorzystaniem aktualnych danych tabeli Orders";;;;4
"W przypadku zastosowania poziomu izolacji transakcji READ UNCOMMITTED:";"Występuje ryzyko brudnych odczytów";"Występuje ryzyko zakleszczeń";"Występuje ryzyko niepowtarzalnych odczytów";"Modyfikowane rekordy są blokowane";;;;1,3
"Transakcja A wykonuje polecenie SQL UPDATE na rekordzie. W przypadku napotkania przez wykonywaną transakcję A na blokadę ustanowioną przez inną transakcję B modyfikującą ten sam rekord";"Transakcja A musi oczekiwać na zakończenie transakcji B poprzez polecenie ROLLBACK lub COMMIT";"Transakcja B musi oczekiwać na zakończenie transakcji A poprzez polecenie COMMIT";"Jedna z aplikacji klienckich musi wstrzymać wykonanie transakcji poprzez polecenie SUSPEND,";"Jedna z transakcji jest wycofywana przez serwer bazy danych";"Konieczna jest interwencja administratora bazy danych, by przywrócić działanie systemu,; Jedna z transakcji wykonywała wyłącznie odczyt w trybie READ UNCOMMITTED.";;;1
"Trigger może:";"Być automatycznie uruchamiany przez serwer po odczytaniu danych rekordu z bazy danych poprzez polecenie SQL SELECT,";"Wykonywać polecenie UPDATE SQL na innej tabeli,";"Być wywołany przez polecenie EXEC TRIGGER";"Być wykonywany w efekcie operacji modyfikacji danych wykonywanych na bazie przez różne aplikacje klienckie,";"Być automatycznie uruchamiany przez serwer po wstawieniu nowego rekordu do bazy danych,; Być automatycznie uruchamiany przez serwer zamiast wstawienia rekordu do bazy danych.";;;2,4,5
"W sytuacji, gdy nie może być zapewnione stabilne łącze pomiędzy serwerami baz danych i konieczne jest nanoszenie tych samych zmian w tych serwerach baz danych, zalecane jest:";"Wykonywanie dwóch transakcji przez aplikację kliencką - po jednej na każdym serwerze bazy danych,";"Wykorzystanie puli połączeń do głównego serwera";"Wykorzystanie klastra serwerów";"Wykorzystanie mechanizmów replikacji";;;;4
"Relacja jeden do wielu między tabela A i B jest reprezentowana poprzez:";"Dodatkowe klucze obce w tabelach A i B";"Dodatkowy klucz obcy w tabeli B wskazujący na tabelę A";"Dodatkowy klucz obcy w tabeli A wskazujący na tabelę B";"Dodatkową tabelę C z kluczami obcymi wskazującymi na tabele A i B";"Dodatkową tabelę C bez kluczy obcych; Dodatkową tabelę Cz kluczami obcymi wskazującymi na tabele A i B i klucze obce w tabelach A i B; Dodatkową tabelę C bez kluczy obcych i klucze obce w tabelach A IB";;;2
"Wartość NULL to:";"Wartość oznaczająca brak daty w przypadku pola typu data,";"Wartość 0 w przypadku pola typu liczba całkowita,";"Wartość, która powinna być dopuszczana każdorazowo, gdy jest taka możliwość,";"Wartość, która powinna być dopuszczana tylko wtedy, gdy jest to konieczne";;;;1,4
"Normalizacja tabeli do trzeciej postaci normalnej:";"Jest procesem o charakterze teoretycznym, pomijanym w praktycznych zastosowaniach.";"Wymaga m.in. identyfikacji klucza głównego.";"Zawsze wymaga identyfikacji klucza obcego w tej tabeli.";"Dopuszcza wartości nieatomowe w kolumnach tabeli.";"Wymaga wcześniejszego uzyskania czwartej postaci normalnej";;;2
"Rezultatem porównania 'abe'=NULL jest:";"TRUE";"Ponadto, rezultatem 'abc'> NULL jest TRUE";"NULL";"=FALSE()";"Ponadto, rezultatem 'abc'>NULL jest FALSE";;;4,5
"W bazie danych pracowników należy przypisać aktualnego przełożonego (innego z pracowników) do każdego z pracowników z wyjątkiem prezesa firmy. W tym celu należy:";"dodać klucz obcy w tabeli pracowników, akceptujący wartość NULL";"dodatkowy klucz obcy w tabeli pracowników, nie akceptujący wartości NULL";"Stworzyć dodatkową tabelę, by zawrzeć w/w informację";"Stworzyć dodatkowy klucz główny w tabeli pracowników";;;;1
"W przypadku wykonania polecenia ROLLBACK:";"Wycofane zostaną zmiany w bazie danych wynikające z poleceń SQL INSERT i objęte zakresem transakcji";"Wycofane zostaną zmiany w bazie danych wynikające z poleceń SQL UPDATE i objęte zakresem transakcji";"Wycofane zostaną zmiany w bazie danych wynikające z poleceń SQL DELETE i objęte zakresem transakcji";"Wycofane zostaną zmiany w bazie danych wynikające z zakleszczonych transakcji";"Potwierdzone zostaną zmiany w kluczach obcych wszystkich rekordów, a modyfikowane rekordy, utworzone przed rozpoczęciem transakcji zostaną usunięte";;;1,2,3
"Liczba wierszy w wyniku zapytania SELECT FROM TabelaA JOIN TabelaB ON 7=3 or 7>1 będzie równa:";"Liczbie rekordów w tabeli A";"Liczbie rekordów w tabeli B";"Zero";"Iloczynowi liczby rekordów w tabeli A i liczby rekordów w tabeli B";"Sumie liczby rekordów w tabeli A i liczby rekordów w tabeli B";;;4
"Hurtownia danych:";"Zazwyczaj wykorzystuje bezpośrednio dane tabel systemu OLTP,";"Zazwyczaj wykorzystuje dane po transformacji z wykorzystaniem systemu BI,";"Zazwyczaj wykorzystuje dane po transformacji z wykorzystaniem systemu ETL,";"Zazwyczaj korzysta z identycznych struktur danych jak baza danych OLTP,";"Zawiera dane z ostatniego roku działalności firmy - w celu zapewnienia wydajnej realizacji zapytań OLAP; Wykorzystuje dane dużych kolumn binarnych (np. zdjęcia produktów zapisane w formacie JPG); Zawsze zawiera znormalizowane dane.";;;3
"Statystyki zawarte w ramach bazy danych Oracle:";"Nie powinny byś stosowane, gdyż spowalniają wykonanie zapytań,";"Powinny być stosowane, gdyż powodują przygotowanie lepszych planów wykonania zapytań.";;;;;;2
"Stworzono warstwę wektorową typu wielobok. Obiekt tej warstwy jest definiowany poprzez:";"Lokalizację zdefiniowaną w wybranym układzie współrzędnych, opisaną przez współrzędne wierzchołków";"Atrybuty opisowe";"Lokalizację zdefiniowaną zawsze w tym samym, wspólnym dla wszystkich systemów GIS, układzie współrzędnych";;;;;1,2
"Opcje audytu bazy danych Oracle umożliwiają:";"Monitorowanie wykorzystania poszczególnych poleceń SQL";"Monitorowanie udanych prób połączenia z instancją";"Monitorowanie nieudanych prób połączenia z instancją";"Są rozwiązaniem, które powinno być stosowane zamiast definiowania uprawnień do poszczególnych tabel";"Są rozwiązaniem, które powinno być stosowane równolegle z nadawaniem uprawnień do tabel.";;;1,2,3,5
"Warstwy w systemach informacji przestrzennej dzielimy na:";"Rastrowe";"Relacyjne";"Wektorowe";"Długotrwałe transakcyjne";;;;1,3
"W systemie bazy danych stwierdzono nieakceptowaną wydajność realizacji często wykonywanej sekwencji złożonych zapytań SQL SELECT. Potencjalnie korzystne działania to:";"Dodanie nowych indeksów,";"Usunięcie istniejących indeksów,";"Wprowadzenie procedury składowanej i zawarcie w niej kodu zapytań SQL SELECT.";"Wprowadzenie wykorzystania puli połączeń";"Rezygnacja z użycia procedur składowanych; Rezygnacja ze stosowania puli połączeń.";;;1,3,4
"W każdym wierszu tabeli lista użytych kolumn jest inna. Można również wstawić do tabeli wiersz, w którym użyjemy dowolnych, nowych nazw kolumn. Sytuacja taka oznacza, że tabela została stworzona:";"w relacyjnej bazie danych";"w hurtowni danych";"w systemie NoSQL";;;;;3
"Diagramy ER";"zawierają encje";"zawierają relacje";"opisują znaczenie relacji";"przedstawiają powiązania między tabelami, są to powiązania w całości inne niż definiowane przez klucze obce";;;;1,2,3
"Należy ustalić listę klientów, którzy złożyli zamówienia w roku 1997. Zapytanie select * from Customers where exists (select from orders where YEAR(OrderDate)=1997):";"Nie ustali prawidłowej listy klientów spełniających w/w warunek.";"Ustali prawidłową listę klientów spełniających w/w warunek.";;;;;;1
"W kostce danych";"Typowo obecny jest wymiar typu czas";"Typowo obecna jest miara liczbowa typu suma";"wymiary sporadycznie mają postać hierarchiczną";"występują zawsze co najwyżej 3 wymiary";"typowo występuje wiele wymiarów";;;1,2,3,5
"W przypadku baz danych Oracle";"Zapis do logów transakcyjnych następuje przed potwierdzeniem aplikacji klienckiej pomyślnego zakończenia transakcji";"Wyłączenie zasilania serwera skutkuje utratą zmian wprowadzonych w ramach zakończonych transakcji";"Wyłaczenie zasilania serwera skutkuje utratą zmian wprowadzonych w ramach transakcji w trakcie realizacji";"Wyłączenie zasilania serwera gwarantuje, iż zarówno dane transakcji w trakcie realizacji, jak i już zakończonych nie zostaną utracone";;;;1,3
"W klastrze hot-failover";"Przed wystapieniem awarii w przetwarzaniu zapytan SQL uczestniczą wszystkie serwery.";"Przed wystapieniem awarii w przetwarzaniu zapytan SQL uczestniczy jeden serwer.";"Po wystapieniu awarii w przetwarzaniu zapytan SQL uczestnicza wszystkie serwery.";"Po wystapieniu awarii w przetwarzaniu zapytan SQL uczestniczy zawsze co najwyzej jeden serwer.";;;;1,3
"Polecenia sieciowe z instancją bazy danych Oracle";"zawsze bazują na TCP/IP";"mogą zapewniać automatyczną próbę połączenia z innym adresem IP procesu listenera, w przypadku, gdy podstawowy nie odpowadia";"mogą bazować na odwołaniu do plików konfiguracyjnych, określających sposób nawiązywania danego połączenia np. decyzję o użyciu opcji load balance";;;;;2,3
"Tabela Customers w kolumnie ContactName przyjmuje wartości NULL. Zapytanie select * from Customers where ContactName != null:";"Zostanie wykonane i ustali listę klientów z przypisaną osobą kontaktową.";"Zostanie wykonane i nie ustali listy klientów z przypisaną osobą kontaktową";"Nie zostanie wykonane i nie ustali listy klientów z przypisaną osobą kontaktową";"Nie zostanie wykonane, ale ustali liste klientów z przypisaną osobą kontaktową";;;;2
"Programista przygotowuje kod aplikacji klienckiej, który ma pobierać z bazy danych dane faktur klientów z podanej lokalizacji określonej przez fragment nazwy miasta i/lub ulicy. Zalecane rozwiązanie to:";"Złączenie (konkatenacja) ciągu znaków z treścią zapytania SQL z wartościami tekstowymi pobranymi z interfejsu użytkownika";"Wykorzystanie mechanizmu parametryzowanych zapytań (np. PreparedStatement) i parametryzacja zapytania SQL SELECT";"Oba powyższe, gdyż będą prowadzić do tej samej wydajności operacji wykonywanych na bazie danych";"Oba powyższe, gdyż będą prowadzić do kodu równie poprawnego, o ile wydajność nie jest krytycznie ważna";;;;2
"W przypadku pomyślnego wykonania polecenia COMMIT kończącego transakcję i potwierdzonego przez usługę Oracle DBMS:";"Mamy gwarancję, iż zmienione w ramach transakcji dane zostały już zapisane w plikach bazy danych";"Mamy gwarancję, iż zmienione w ramach transakcji dane nie zostaną utracone w wyniku nagłego zakończenia pracy instancji DBMS w trybie ABORT";"Będziemy niezależnie od archiwizacji (lub braku archiwizacji) logów transakcyjnych mogli w przyszłości odzyskać bazę danych do stanu uwzględniającego zmiany wprowadzone w bazie danych przez transakcję";;;;;3
"W bazie danych Oracle:";"Obsługa jednego połączenia może być realizowana przez na stałe przypisany proces serwerowy.";"Obsługa jednego połączenia może być realizowana prez proces serwerowy, który na przemian obsługuje również inne połączenia.";"kopie bezpieczeństwa i operacje wsadowe powinny być wykonywane przez dedykowany proces serwera.";"obsługa jednego połączenia musi być realizowana przw na stałe przypisany proces serwerowy";;;;1,2,3
"W przypadku aplikacji klient-serwer (tzw. gruby klient) uruchomionej na 500 stacjach roboczych i komunikującej się bezpośrednio z serwerem bazy danych Oracle, zalecane jest użycie do nawiązywania połączeń:";"Dedykowanych procesów serwera.";"Puli połączeń,";"Dzielonych procesów serwera.";"Rezygnacja z wykorzystania poleceń SOL.";;;;3
"Pliki logów transakcyjnych w systemie transakcyjnym:";"są konieczne do działania systemu";"są opcjonalne dla funkcjonowania systemu";"moga podlegać archiwizacji";"są wykorzystywane w trakcie odtwarzania bazy danych po awarii";;;;1,3,4
"Baza danych:";"może obsługiwać różne zestawy znaków narodowych, ale konieczny jest wybór tylko jednego w chwili instalacji bazy";"może obsługiwać różne zestawy znaków narodowych jednocześnie";"może stosować więcej niż jeden zestaw znaków narodowych w tym samym czasie";;;;;2,3
"Nawiązanie nowego połączenia sieciowego z bazą danych Oracle:";"Typowo bazuje na połączeniu TCP/P, z wykorzystaniem portu 1521,";"Wymaga obecności procesu listenera,";"Musi wykorzystywać protokół TCP/IP.";"Może w sposób automatyczny odwoływać się do różnych procesów listenera, np. by zapewnić odporność na awarie.";;;;1,2,4
"Polecenia CREATE TABLE:";"zawsze mają identyczną postać w każdym systemie RDBMS np Oracle Database lub MS SQL Server";"mogą mieć różną postać w różnych systemach RDBMS np. Oracle Database lab MS SQL Server";"mogą być stosowane do modyfikacji struktury istniejącej tabeli";;;;;2
"Archiwizacja logow transakcynych Oracle:";"Jest zalecana w produkcyjnych systemach (wykorzystywanych do bieżącej obsługi procesów przedsębiorstwa),";"Nie jest zalecana w produkcynych systemach (wykorzystywanych do bieżącej obsługi procesów przedsiębiorstwa)";"Pozwala na odtworzenie bazy danych do dowolnego momentu w czasie,";"Eliminuje potrzebę wykonywania kopii bezpieczeństwa bazy danych";"eliminuje potrzebe uruchamiania opcji audytu";;;1,3
"Z punktu widzenia wydajności przetwarzania danych przez wielu użytkowników systemów transakcyjnego np. Ms SQL";"wskazane są liczne transakcje o krótkim czasie realizacji";"wskazana jest niewielka liczba transakcji o czasi realizacji rzędu dziesiątek minut";"w przetwarzaniu danych operacji finansowo-księgowych zaleca się rezygnację z użycia transakcji, czyli wykonywanie i zatwierdzanie każdego polecenia SQL osobno";;;;;1
"Polecenie ALTER TABLE";"może zmienić dowolne cechy tabeli";"może zmienić tylko niektóre cechy tabeli, część cech nie może być zmieniona przez to polecenie";"może być użyte do dodania kolumny";"może być użyte do wydłużenia kolumny tekstowej";;;;2,3,4
"Wykonano pomyślnie polecenia BEGIN TRANSACTION, INSERT, UPDATE, COMMIT. Serwer potwierdził wykonanie wszystkich poleceń. W tej sytuacji:";"zarówno polecenie INSERT, jak i UPDATE zostało wykonane pomyślnie";"istnieje ryzyko, iż tylko polecenie UPDATE zostało wykonano pomyślnie";"jeśli wystąpi awaria zasilania serwera, to istnieje ryzyko, iż jedna lub obie ze zmian były obecne tylko w buforach pamięciowych i zostaną utracone";;;;;1
"Normalizacja tabeli do drugiej postaci normalnej:";"Jest procesem o charakterze teoretycznym, pomijanym w praktycznych zastosowaniach";"Wymaga m.in. identyfikacji klucza głównego,";"Zawsze wymaga identyfikacji klucza obcego w tej tabeli,";"Dopuszcza wartości nieatomowe w kolumnach tabeli,";"Wymaga wcześniejszego uzyskania pierwszej postaci normalnej";;;2,5
"W sytuacji, gdy nie może być zapewnione stabilne lacze sieciowe pomiędzy aplikacja a dwoma serwerami baz danych i konieczne jest nanoszenie tych samych zmian w obu serwerach baz danych, zalecane jest:";"Wykonywanie dwóch transakcji przez aplikację kliencka - po jednej na każdym serwerze bazy danych";"Wykonywanie zmian z wykorzystaniem transakcji rozproszonej modyfikującej każda z baz danych";"Wykorzystanie dwóch klastrów serwerów działających w trybie hot-failover zamiast jednego klastra";"Wykorzystanie mechanizmów replikacji.";;;;4
"Normalizacja tabeli do trzeciej postaci normalnej:";"Nie pozwala na zależność wartości kolumny od innych kolumn nie wchodzących w skład klucza głównego,";"ma na celu m.in. wyeliminowanie anomalii wynikających z redundancji w bazie danych,";"Może powodować zbędne tworzenie dodatkowych tabel,";"Dopuszcza wartości nieatomowe w kolumnach tabeli,";"Zgodnie z dobrymi praktykami, może być potencjalnie pominięta w systemach hurtowni danych.";;;1,2,5
"Indeks powinien zostać utworzony:";"Zawsze dla klucza głównego (ewentualnie może być tworzony automatycznie przez system)";"Zawsze na kolumnach dwuwartościowych.";"Na kolumnach klucza obcego - jeden indeks dla jednego klucza obcego danej tabeli, przy założeniu wysokiej selektywności klucza obcego,";;;;;1,3
"Wdrożenie rozwiązań określanych jako big data odznaczają się zazwyczaj wykorzystaniem danych";"o znacznej wielkości mierzonej np w liczbach bajtów";"o różnorodnej postaci w tym np. wpisów na forach internetowych , czy też logów opisujących zachowania użytkoników w aplikacjach WWW";"o niższej jakości niż w relacyjnych bazach danych";"o identycznej jakości niż w relacyjnych bazach danych, wdrożenia te zazwyczaj wykorzystują relacyjne bazy danych jako źródło większości danych";"o wyłącznie postaci hierarchicznej; O wyższej jakości niż w relacyjnych bazach danych";;;1,2,3
"The risks related to SQL code execution can be mitigated by:";"relying on parameterized queries, in which parameters represent the values provided by a user eg. the name of the country from which the customers are sought";"concatenating SQL query text with the text provided by a user eg. the name of the country from which the customers are Sought";;;;;;1
"After the list of columns for the tables planned in a relational database has been developed:";"System scope should be defined";"Normalization should be performed";"Possible high-level interaction with other databases should be identified";;;;;2
"A transaction includes one INSERT statement inserting two records and one DELETE statement deleting two records. No triggers exist for the involved tables. The transaction has been committed successfully. This means:";"The two records have been inserted";"possibly not all requested records have been deleted";"at most two records have been inserted, but possibly just one";"all changes were already saved in a transaction log";"all changes were already saved in data files";;;1,4
"Oracle Net components:";"make it possible to connect with Oracle Database using TCP/IP only";"include listener process (or processes) located on the server-side";"in the case of TCP/IP are always configured with a single IP address per one DBMS instance";"make it possible to use multiple listeners to provide an access to one DBMS instance, but this is not suggested";;;;2,4
"table in second normal form";"contains primary key";"can include non-atomic values";"can include one column for all address data Le. (city, street, house number)";"can contain composite primary key";"is also a table in the third normal form; can include columns that depend on a part of a primary key only";;;1,4
"A transaction got suspended by another transaction and waits for a lock to be released";"every time this happens a database administrator has to resolve the problem";"this is normal as long as the time it is suspended is acceptable";"every time this happens DBMS will terminate the suspended transaction, as this means deadlock occured";"this has to be fully avoided by redesigning client application";"this has to be fully avoided by redesigning the structure of the tables";;;2
"To perform analytical processing providing interactive plots based on data retrieved with SQL queries the following systems should be used (consider both query execution and producing plots):";"Apache HBase";"Relational database management system";"Apache Hadoop";"Business Intelligence platform";"MongoDB";;;2,4
"A table in first normal form";"contains primary key";"can include non-atomic values";"can include one column for all address data i.e. (city, street, house number)";"can contain composite primary key";"can include columns that depend on a part of a primary key only";;;1,4,5
"Big data resources are characterized by:";"High volume";"High visibility";"High quality";"High variety";;;;1,4
"A table of products has been designed, which includes a column with a list of parts comprising on the product. Individual part names in this column are comma separated. Such a table";"Is in the first normal form";"Is in the second normal form";"Is in the third normal form";"Is not normalised";;;;4
"A many to many relation has been identified between tables A and B. This means:";"Foreign keys have to be added to both of the tables";"A new table with one foreign key is needed";"A new table with two foreign keys is needed";"A new table without foreign keys is needed";;;;3
"NoSQL platforms are used:";"As a replacement of data warehouse platforms";"Frequently for keeping large volumes of data, many of NoSQL platforms are cluster-oriented systems";"For keeping relational databases";"For extensive reporting with SQL queries";;;;2
"In tax office database, there is a need to frequently search for citizen data within MS SQL Server database based on name and surname of the person, both provided at each time. Hence, a reasonable solution is to:";"Create two clustered indexes in the table.";"Create two unclustered indexes in the table, one for name and one for surname";"Create one clustered index and one unclustered index, one for name and one for surname";"Create one unclustered index including both name and surname";"Not create any indexes";;;4
"CAP theorem:";"refers to the way consistency (C), atomicity (A) and PZLU be attained";"refers to the way consistency (C), atomicity (A) and partition tolerance(P) can be attained";"refers to the way consistency (C), availability (A) and persis can be attained";"refers to the way consistency (C), availability (A) and partition tolerance (P) can be attained";;;;4
"W przypadku wykonania polecenia ROLLBACK:";"Zmiany wprowadzone we wszystkich transakcjach w trakcie realizacji (jeszcze nie zakończonych poleceniem COMMIT) zostaną wycofane.";"Zmiany wprowadzone w innych transakcjach zakończonych poleceniem COMMIT mogą być utracone - jeśli były zapisane tylko w buforach pamięciowych,";"Zmiany wprowadzone w bieżącej transakcji zostaną wycofane,";"Zmiany wprowadzone w innych transakcjach zakończonych poleceniem COMMIT zostaną wycofane.";;;;3
"Przykłady bazy danych to";"kolekcja dokumentów Ms Word";"kolekcja plików tekstowych";"relacyjna baza danych";"obiektowa baza danych";;;;3,4
"A column was removed from a table. There are triggers registered for the table. As a consequence:";"some previously correct INSERT statements may fail";"some previously correct SELECT statements may fail";"some previously correct DELETE statements may fall";"some previously correct UPDATE statements may fail";;;;1,3,4
"Data warehouse:";"contains usually data loaded from one database";"contains usually data loaded from many databases";"contains data usually for longer periods of time than the source databases";"contains data usually for shorter periods of time than the source databases";"contains the same tables, primary and foreign keys as the source databases";;;2,3
"Data warehouse:";"Contains all columns present in OLTP database";"Is nowadays replaced by Apache Hadoop";"Has higher quality data than Big Data resources";"Typically contains data from multiple relational databases";;;;3,4
"Big Data is:";"typically used with schema-on-write approach";"typically used with schema-on-read approach";"typically carefully modelled before being placed in a system,";"frequently stored in Apache Hadoop";"typically being relational database management system";;;2,4
"Pula połączeń to sposób na:";"obniżenie obciążenia serwera otwieraniem i zamykaniem połączeń,";"Poprawę wydajności aplikacji.";"Ograniczenie liczby aktywnych połączeń,";"Zmniejszenie liczby zapytań SQL przesyłanych przez jedno połączenie,";;;;1,2
"Polecenie SHUTDOWN ABORT:";"może uszkodzić dane";"jest zalecane w przypadku, gdy chcemy zapewnić możliwość zakończenia przez użytkowników pracy z bazą danych";"nie jest zalecane w przypadku, gdy chcemy zapewnić możliwość zakończenia przez użytkowników pracy z bazą";"może powodować wydłużone oczekiwanie na zakończenie pracy instancji bazy danych";"może powodować wydłużone oczekiwanie na kolejne uruchomienie instancji bazy danych";;;3,5
"Programista przygotowuje kod aplikacji klienckiej, ktory ma pobierać z bazy danych dane faktur klientów z podanej lokalizacji okreslanej przez fragment nazwy miasta i/lub ulicy. Zalecane rozwiazanie to:";"Złączanie (konkatenacja) clagu znaków z treścią zapytania SQL z wartosciami tekstowymi pobranymi z interfejsu użytkownika";"Wykorzystanie mechanizmu parametryzowanych zapytań (np. PreparedStatement) i parametryzacja zapytania SOL SELECT";"Oba powyższe, gdyż będą prowadzić do tej samej wydajności operacji wykonywanych na bazie danych";"Oba powyższe, gdyż będą prowadzić do kodu równie poprawnego, o ile wydajność nie jest Krytycznie ważna";;;;2
"A table in third normal form";"contains primary key";"can include non-atomic values; can include columns that depend on a part of a primary key only";"can include one column for all address data i.e. (city, street, house number)";"can contain composite primary key";"is also a table in the second normal form";;;1,4,5
